downloaded_at,source_name,source_url,fashion_mnist_class,image_url,filename,width,height,sha256,status,message
2026-04-22T14:19:40.127605+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/IE=edge,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:41.210952+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,"https://us.brandymelville.com/collections/width=device-width, initial-scale=1.0",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:42.494187+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://assets.tapcart.com/pySrGvs7Rl_6441ba9dfedafbcadaf8e12b.png,,,,,skipped,robots_unavailable
2026-04-22T14:19:43.368584+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,"https://us.brandymelville.com/collections/Brandy Melville USA - Tops: Shop Short-Sleeves, Long-Sleeves, Tubes, Tanks, And Off The Shoulder Tops.",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:44.755528+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/Brandy Melville,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:46.118240+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/clothing-tops,,,,,skipped,non_image_content_type:text/html; charset=utf-8
2026-04-22T14:19:47.482387+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/Brandy Melville USA - Tops,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:48.595541+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/product.group,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:53.452869+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,http://us.brandymelville.com/cdn/shop/files/BM_main_logo_social_1200_628.png?v=1683122263,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_3ff41db59c62.png,1200,628,fe82184589d8aad94c39210e6c745fdb68ce5267d6ddfce2e1d3379d87c202b3,downloaded,ok
2026-04-22T14:19:55.392811+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/BM_main_logo_social_1200_628.png?v=1683122263,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_593d38a57918.png,1200,628,fe82184589d8aad94c39210e6c745fdb68ce5267d6ddfce2e1d3379d87c202b3,downloaded,ok
2026-04-22T14:19:56.843950+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/1200,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:58.303072+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/628,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:19:59.631684+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/summary_large_image,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:00.747086+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/45598277796/digital_wallets/dialog,,,,,skipped,non_image_content_type:text/html; charset=utf-8
2026-04-22T14:20:02.128055+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/collections/709464262936bde3fb8a81c2f0beef63,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:03.658758+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/t/90/assets/stg_logo.png?v=69450335796886146751766083622,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_580c7bd0b280.png,430,437,7aab149982692fcc21e61c9226cc097c00fd7c4073e9696b11dc4f3402d253c7,downloaded,ok
2026-04-22T14:20:04.765717+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/t/90/assets/united-states-flag.svg?v=1775622008207747401755603414,,,,,skipped,unreadable_image
2026-04-22T14:20:06.523379+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/Brandy_melville_US_logo.svg?v=1615508458,,,,,skipped,unreadable_image
2026-04-22T14:20:08.050072+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/M427M-1008SZ2570000_533x.jpg?v=1776799892,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_7ac5da8696cf.jpg,533,800,9a685f4178396f683cdaee67239fce5a94631ce19e2222f57bf39d5188ca6a08,downloaded,ok
2026-04-22T14:20:09.237401+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/M427M-1008SZ2570000_165x.jpg?v=1776799892,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_c150237cec00.jpg,165,248,351aa114dab77cc204ae019fa3d8bf710f282fa7036bb4a349363c046ac6aef6,downloaded,ok
2026-04-22T14:20:10.560634+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/M427M-1008SZ2570000_360x.jpg?v=1776799892,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_d79b1a141104.jpg,360,540,29e41f2f7d75d63b44d2d0050af7aaf9c59adc178ba44e65fa834bb0af26583b,downloaded,ok
2026-04-22T14:20:12.846666+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MLA002-8015ST41V12800_533x.jpg?v=1776733202,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_27011dd95bb0.jpg,533,800,5e1ccc8aa62679727f94aa97ac0e970bd7eb65772ce1fe25c6722694bbef4214,downloaded,ok
2026-04-22T14:20:16.197926+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MLA002-8015ST41V12800_165x.jpg?v=1776733202,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_e7e961f60c24.jpg,165,248,fb16c8161256d2db630146879fc76fdbed182e3ce99daced85d6273b9853d8bf,downloaded,ok
2026-04-22T14:20:17.647705+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MLA002-8015ST41V12800_360x.jpg?v=1776733202,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_26b2bc1908d9.jpg,360,540,afa158a6b19480efbeb066050cdfcae6112183209403268938a10a89870be68a,downloaded,ok
2026-04-22T14:20:19.101570+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MW922BL-686TS10A0000-0_533x.jpg?v=1776733216,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_bfbd5a908629.jpg,533,800,8e83c06aa822759af778c3f317b5a28bd293d9aabb39c2498648098117518c5c,downloaded,ok
2026-04-22T14:20:20.271018+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MW922BL-686TS10A0000-0_165x.jpg?v=1776733216,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_217b7aa77107.jpg,165,248,9264819eefacd5cb4d9f75ce9f67a4aab68fb21be92a1ffdd874c1641cc36ba8,downloaded,ok
2026-04-22T14:20:21.664498+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MW922BL-686TS10A0000-0_360x.jpg?v=1776733216,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_cf8c1adc7b10.jpg,360,540,73fc94cb1876344056eb42a448ef4d90a96ce17f1575adda3589c205cd4560be,downloaded,ok
2026-04-22T14:20:23.126985+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/mq075m-1254sr200000_2_533x.jpg?v=1776556627,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_f0064e8fece7.jpg,533,800,bb610fba0b7cb0e0e2d786c6512038aba520292fb80af78cbd58d7808c5255de,downloaded,ok
2026-04-22T14:20:25.183298+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/mq075m-1254sr200000_2_165x.jpg?v=1776556627,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_a1060a3dcb9b.jpg,165,248,102be95d286208523c50e972db102239b7f931856c27632f00bae2c5e65d0c6f,downloaded,ok
2026-04-22T14:20:26.484617+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/mq075m-1254sr200000_2_360x.jpg?v=1776556627,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_61227887ab6d.jpg,360,540,645e47e2642e0a57fde2e031f1ef3b7a34aa64fc3d56ec9bb33ce945ae2ec969,downloaded,ok
2026-04-22T14:20:28.025466+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/m482w-58sy940000_0_533x.jpg?v=1776556634,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_680cd367d03b.jpg,533,800,0ceb1e37f0e839cefdc261e01b8a79b83ee97da23174272c3f2cb3098f15b8c2,downloaded,ok
2026-04-22T14:20:29.263756+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/m482w-58sy940000_0_165x.jpg?v=1776556634,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_886888e1fe21.jpg,165,248,c30e93e38be111dd18bfa81f1f77f072c6ae95dd9afc2ca717e0c4112b39cf99,downloaded,ok
2026-04-22T14:20:30.750343+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/m482w-58sy940000_0_360x.jpg?v=1776556634,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_b9e51d9b9728.jpg,360,540,780a8104382eacb97893dd65d0ca910fb50f40711fb9b27bfb50f329a5ed9d88,downloaded,ok
2026-04-22T14:20:32.293813+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MC570BL-686TSY9400HT_533x.jpg?v=1776374321,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_7b5e0d528356.jpg,533,800,7b87023a69a0ff587e14e1b3ead1db64971573404c803e46efe9efada02349d5,downloaded,ok
2026-04-22T14:20:33.568312+00:00,Brandy Melville tops,https://us.brandymelville.com/collections/clothing-tops,T-shirt/top,https://us.brandymelville.com/cdn/shop/files/MC570BL-686TSY9400HT_165x.jpg?v=1776374321,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_618152040a3e.jpg,165,248,5c52c8fa6201ba94d131c1caaf7f20544e26798ef22956f0acc70143ba615294,downloaded,ok
2026-04-22T14:20:37.860627+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,https://us.princesspolly.com/collections/IE=edge,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:39.627218+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,"https://us.princesspolly.com/collections/viewport-fit=cover,width=device-width,initial-scale=1",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:41.422942+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,https://us.princesspolly.com/collections/pants#000,,,,,skipped,non_image_content_type:text/html; charset=utf-8
2026-04-22T14:20:43.146099+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,https://us.princesspolly.com/collections/telephone=no,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:44.881706+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,"https://us.princesspolly.com/collections/Looking for the perfect pair of Pants? Find them online right now at Princess Polly! Enjoy Fast Shipping & Easy Returns. Buy now, pay later with Afterpay.",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:46.580823+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,https://us.princesspolly.com/collections/_VNNw-L3qm722-R1BtwyQ0jLp2a2dtFEADzBUwFnpug,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:48.295104+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,https://us.princesspolly.com/collections/XmIqMML8LMrafTn0a_FMf3wiX1YuVSbV6ym7O7a3NbA,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:50.073303+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,https://us.princesspolly.com/collections/OhTlU12SGWd4s8racJcQHXKLIU0WI5dvwBTbo4KN4XA,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T14:20:51.876866+00:00,Princess Polly pants,https://us.princesspolly.com/collections/pants,Trouser,https://us.princesspolly.com/collections/VDUH3OJhTHBVBwdB2hwx50ONFkKpCFvLtUkt_5OVYuo,,,,,skipped,image_fetch_failed:HTTPError
