,precision,recall,f1-score,support
T-shirt/top,0.3333333333333333,0.5,0.4,2.0
Trouser,0.0,0.0,0.0,1.0
Pullover,0.0,0.0,0.0,2.0
Dress,0.0,0.0,0.0,1.0
Coat,0.3333333333333333,1.0,0.5,2.0
Sandal,0.0,0.0,0.0,2.0
Shirt,0.3333333333333333,0.5,0.4,2.0
Sneaker,0.0,0.0,0.0,2.0
Bag,0.0,0.0,0.0,2.0
Ankle boot,1.0,0.5,0.6666666666666666,2.0
accuracy,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778
macro avg,0.2,0.25,0.19666666666666668,18.0
weighted avg,0.2222222222222222,0.2777777777777778,0.21851851851851853,18.0
